word;count;line;char;source_word
срок;3345;34;151;срок
размер;2026;136;25;размере
лишение;1844;31;183;лишения
свобода;1564;3;53;свобод
определенный;1399;120;24;определенные
иной;1269;4;241;иные
лицо;1225;7;1;Лица
наказываться;1085;493;1;наказывается
работа;1082;122;14;работы
осудить;974;25;746;осуждены
таковой;942;409;174;таковых
штраф;900;119;1;штраф
период;874;136;135;период
доход;865;136;113;дохода
деятельность;824;53;752;деятельности
заработный;809;136;86;заработной
плата;809;136;97;платы
право;797;2;118;права
должность;704;120;37;должности
преступление;699;3;309;преступлений
занимать;694;120;15;занимать
заниматься;682;120;51;заниматься
принудительный;660;56;135;принудительные
деяние;657;4;174;деяния
совершенный;578;20;15;совершенные
предусмотренный;475;14;113;предусмотренного
ограничение;447;116;223;ограничении
группа;410;85;144;группу
наказание;406;4;229;наказаний
средство;353;53;541;средством
крупный;338;848;122;крупных
совершение;329;4;283;совершение
обязательный;262;114;116;обязательных
организация;250;53;870;организацию
повлечь;248;546;68;повлекшие
тяжкий;237;30;185;тяжкие
использование;234;84;221;использования
совершить;229;7;7;совершившие
исправительный;229;123;1;исправительные
отношение;213;7;213;отношения
действие;207;8;74;действия
цель;205;13;121;целью
государственный;188;53;2031;государственного
равно;187;85;107;равно
сумма;185;136;229;сумме
применение;184;6;1;Применение
предусмотреть;184;18;133;предусмотренных
организовать;183;85;32;организовавшее
уголовный;181;1;1;Уголовное
особо;178;30;207;особо
суд;175;23;349;суда
предварительный;165;93;124;предварительного
военный;163;21;401;военном
незаконный;162;53;1199;незаконном
случай;161;22;141;случае
сговор;161;74;174;сговор
примечание;160;296;1;Примечание
ответственность;157;1;122;ответственность
арест;156;127;1;арест
причинение;150;9;71;причинение
неосторожность;143;60;78;неосторожности
ущерб;143;204;135;ущерба
признаваться;141;4;181;признаются
заведомо;141;53;1130;заведомо
другой;139;7;297;других
несовершеннолетний;138;54;6;несовершеннолетний
вред;135;9;82;вреда
положение;134;7;184;положения
орган;133;80;135;органам
имущество;131;53;621;имущества
вещество;131;53;1607;веществ
вид;127;4;224;виды
информация;127;87;107;информации
служба;126;124;24;службе
здоровье;124;53;179;здоровью
указанный;118;35;337;указанного
нарушение;118;201;29;нарушении
сеть;117;230;147;сетях
человек;116;3;60;человека
последствие;112;5;72;последствия
служебный;110;104;139;служебного
административный;107;298;288;административной
гражданин;106;3;71;гражданина
подкуп;106;86;97;подкупа
превышать;105;31;164;превышает
денежный;105;135;12;денежное
смерть;104;492;41;смерти
число;102;17;274;числе
законодательство;101;1;11;законодательство
насилие;101;101;295;насилием
иностранный;98;22;68;иностранных
характер;94;4;270;характера
соответствие;92;22;234;соответствии
отбывание;92;27;246;отбывания
угроза;92;28;109;угрозой
возраст;89;48;48;возрасте
медицинский;87;56;155;медицинского
должностной;86;7;171;должностного
условие;86;35;296;условии
оружие;86;53;1764;оружия
